Name,Owner,Tagline,Description,BusinessServices,ServiceAreas
R&R Home Services,,, Prices are always negotiable and the customer service is above and beyond.,Home Cleaning|Curtains and Furnishings|Wash And Fold,Makati
Yorleni Houses Cleaning Services,,,I have been working 10th year as cleaning houses I have a lot of experience. I'm honest person you can trust in my services.,Home Cleaning,Eastwood City
Metro Cleaning Co.,,,"We've been in business for 5 years, Our main focus is quality and satisfaction, have a great reviews and the most important thing, our services are personally, we understand each customer has own necessities and we take the time to provide our goal, Your satisfaction!!",Home Cleaning,
"M&B Cleaning Services
",,,"Best Cleaning Company around the area you will not regret it. We provide our service to make your life easier. You can enjoy your Family instead made time to clean. we here to help you and bring a excellent service. You will be happy with us. M&B Cleaning Services Offers incomparable and outstanding work ours services exceed customer's expectations. Our rates are reasonable you can benefit from our excellent quality work. M&B Cleaning Services have the best team with 11years experience on cleaning houses, our team are fully trained to leave your house sparkling.

Leaving the homes clean and our customer happy and satisfied our priority is to made our customers happy. M&B Cleaning Services work hard to make sure to provide the best quality of service and professional team work.",Home Cleaning|Office Cleaning,
"Above & Beyond Cleaning Services
",,,"I offer affordable not competitive prices -- just reasonable! I do anything, from housecleanings to general and commercial cleaning. I do weekly, biweekly or monthly cleanings and move in/out cleanings. I also do laundry, organizing, dusting, etc. 

I specialize in all cleaning aspects, and there's no job that is too big or small! If you're looking for exceptional cleaning services with great and honest people, then go above and beyond, and give us a call!",Home Cleaning|Office Cleaning,
Call On Us Property Maintenance,Daniel,,"Call On Us Property Maintenace is a full service property maintenance business where we take pride in our reputation – our team is friendly, professional and dedicated to providing a great result with minimal interruption to your day. We use modern and efficient equipment and are always striving to do the best job possible to ensure we meet your satisfaction.

For your peace of mind, we carry full public liability insurance and police clearance.

We provide a professional, reliable and experienced team capable of doing your Handyman jobs, builds, small demolition jobs and much more. We are dedicated to making your life easier whatever your needs whether for a one-off job or ongoing maintenance, talk to us and we will do whatever we can to ensure we exceed your expectations and leave you happy.

Call now for an obligation free chat about how we can help you.",General Carpentry|Handyman Services,
Dw Home & Office Improvements,Damien Wayne,,"Do you require a number of tasks carried out, however, don't 'have the time or know how' to complete them?

DW Home and Office Improvements are happy to assist, providing a range of home and office improvements:

We offer all things carpentry

about your home: 

- Security screens doors/windows 
- Timber and aluminum Doors, windows, jams and frames (installation and repair) 
- Architrave and skirting 
- Decking, timber screening, cement sheet cladding 
- Pergolas, patios, arbors and fencing 
- timber framing

Commercial fit out work: 
- Metal stud and track set out and fixing 
- Cladding interior/exterior 
- Drywall plastering (taping and joining, setting or stopping) 
- ceilings flushed and suspended, bulkheads 
- Demolition work or simple alterations 
- Maintenance through to larger projects

Handyman tasks:

- Position pictures, shelves, TV brackets, gates, patching holes in walls and ceilings 
- changing out roller door and window casters 
- locks and door hardware 
- General handyman tasks 
- DW Home and Office Improvements can manage those larger projects, outsourcing industry professionals and tradespeople. 
Working with you for the entire process from planning through to completion 

We offer great rates and friendly service to help you through the process.

Don't wait any longer call us today!

****For payment made easy we offer Square payment service. 
Accepting most credit and debit cards through a pay wave/chip or magnetic strip reader; Apple and Android pay wave even over the phone payments. 
A receipt can be sent to either phone via text or to your preferred email address.

Larger amounts will be invoiced with bank transfer details provided.",General Carpentry,
"Paintwork Plus & Fresh Cleaning Services
",Grant and Tuk,,"Paintwork Plus & Fresh Cleaning Services is a painting and cleaning company that you can count on. We provide a range of quality services that are hard to match. Our painters and cleaners are reliable and friendly. You can count on them to get your job done in no time.

Our services:

- All interior and exterior painting and decorating 
- Diffcult access jobs 
- Swimming pool restoration and painting 
- Colour consultations 
- Repairs and maintenance 
- High-pressure water blasting 
- House washing (soft wash) 
- Window cleaning 
- Domestic and commercial cleaning 
- Scaffolding hire (assembly and delivery) 
- EWP (elevated work platform) operators

If you need more info, please don't hesitate to contact us. We'll be happy to assist you.",,
"Lawns, Gardens and More",John b,,,Gardeners|Landscapers|Lawn Mowing|Yard and Garden Work,
"Anita Greeck Eco Friendly Gardening
",Anita Greeck,,"As an Eco friendly gardener I like to work in an environmental-friendly way. This means that I will try to establish the natural balance in the garden without using chemicals. Eventually, this is the best remedy against weeds and maybe some weeds are more useful than you think. 

I am more than happy to give you advice and help you make your garden a beautiful place to enjoy. I can also advise you on how to make your garden more bird, bee and butterfly-friendly. I can also help you with small landscaping and design. I have already established different veggie gardens for some families so if you want your own just give me a call.

I prefer to work on the north side of Brisbane. 

I am able to do all the light maintenance work. This includes: 
• Lawn mowing 
• Pruning 
• Weeding 
• Planting 
• Helping you with your veggie garden or with starting one 

I am insured and have an ABN number. My rate is $35 per hour for maintenance. I can bring my own tools or use yours. I can't take any green waste with me.

You could also have a look on my face book account https://www.facebook.com/anita.greeck.ecofriendly/",Gardeners,Bonifacio Global City|Eastwood City
